0,11.168
1,11.166
2,11.164
3,11.162
4,11.16
5,11.158
6,11.157
7,11.155
8,11.153
9,11.151
10,11.149
11,11.147
12,11.146
13,11.144
14,11.142
15,11.14
16,11.138
17,11.136
18,11.135
19,11.133
20,11.131
21,11.129
22,11.127
23,11.126
24,11.124
25,11.122
26,11.12
27,11.118
28,11.116
29,11.115
30,11.113
31,11.111
32,11.109
33,11.107
34,11.105
35,11.104
36,11.102
37,11.1
38,11.098
39,11.096
40,11.094
41,11.093
42,11.091
43,11.089
44,11.087
45,11.085
46,11.083
47,11.082
48,11.08
49,11.078
50,11.076
51,11.074
52,11.072
53,11.071
54,11.069
55,11.067
56,11.065
57,11.063
58,11.061
59,11.06
60,11.058
61,11.056
62,11.054
63,11.052
64,11.05
65,11.049
66,11.047
67,11.045
68,11.043
69,11.041
70,11.039
71,11.037
72,11.036
73,11.034
74,11.032
75,11.03
76,11.028
77,11.026
78,11.024
79,11.023
80,11.021
81,11.019
82,11.017
83,11.015
84,11.013
85,11.011
86,11.009
87,11.007
88,11.005
89,11.003
90,11.001
91,10.999
92,10.997
93,10.995
94,10.993
95,10.991
96,10.989
97,10.987
98,10.985
99,10.983
100,10.981
101,10.978
102,10.976
103,10.974
104,10.971
105,10.969
106,10.966
107,10.964
108,10.961
109,10.958
110,10.955
111,10.952
112,10.949
113,10.945
114,10.942
115,10.938
116,10.934
117,10.93
118,10.926
119,10.921
120,10.916
121,10.911
122,10.905
123,10.899
124,10.893
125,10.886
126,10.878
127,10.87
128,10.861
129,10.851
130,10.84
131,10.829
132,10.816
133,10.802
134,10.787
135,10.77
136,10.752
137,10.732
138,10.71
139,10.686
140,10.66
141,10.631
142,10.599
143,10.564
144,10.525
145,10.483
146,10.436
147,10.385
148,10.328
149,10.266
150,10.198
151,10.123
152,10.04
153,9.9499
154,9.8506
155,9.7417
156,9.6226
157,9.4922
158,9.3496
159,9.1941
160,9.0244
161,8.8397
162,8.6389
163,8.4209
164,8.1846
165,7.9289
166,7.6528
167,7.3551
168,7.0349
169,6.6911
170,6.3228
171,5.929
172,5.509
173,5.0619
174,4.5872
175,4.0841
176,3.5524
177,2.9915
178,2.4013
179,1.7814
180,1.132
181,0.45291
182,-0.25566
183,-0.99354
184,-1.7604
185,-2.556
186,-3.3798
187,-4.2315
188,-5.1103
189,-6.0159
190,-6.9476
191,-7.9047
192,-8.8867
193,-9.8928
194,-10.922
195,-11.975
196,-13.049
197,-14.145
198,-15.262
199,-16.399
200,-17.556
